Position;Value;Iterative_Time(sec);Recursive_Time(sec) (Real up to 30, Estimated after)
1;0;0.000001;0.000001
2;1;0.000000;0.000001
3;1;0.000001;0.000001
4;2;0.000001;0.000001
5;3;0.000003;0.000001
6;5;0.000001;0.000001
7;8;0.000001;0.000002
8;13;0.000001;0.000004
9;21;0.000001;0.000006
10;34;0.000001;0.000009
11;55;0.000001;0.000015
12;89;0.000001;0.000024
13;144;0.000001;0.000040
14;233;0.000001;0.000065
15;377;0.000001;0.000107
16;610;0.000001;0.000172
17;987;0.000001;0.000277
18;1597;0.000001;0.000446
19;2584;0.000001;0.000722
20;4181;0.000001;0.001159
21;6765;0.000001;0.001907
22;10946;0.000001;0.003093
23;17711;0.000001;0.004847
24;28657;0.000001;0.007983
25;46368;0.000001;0.012846
26;75025;0.000001;0.020732
27;121393;0.000001;0.033664
28;196418;0.000001;0.055836
29;317811;0.000002;0.090904
30;514229;0.000002;0.141411
31;832040;0.000001;0.146740
32;1346269;0.000001;0.232315
33;2178309;0.000002;0.288150
34;3524578;0.000002;0.379055
35;5702887;0.000002;0.520465
36;9227465;0.000002;0.667205
37;14930352;0.000002;0.899520
38;24157817;0.000002;1.187670
39;39088169;0.000002;1.566724
40;63245986;0.000002;2.087189
41;102334155;0.000002;2.754394
42;165580141;0.000002;3.653914
43;267914296;0.000002;4.841584
44;433494437;0.000002;6.408308
45;701408733;0.000002;8.495498
46;1134903170;0.000002;11.249892
47;1836311903;0.000002;14.903806
48;2971215073;0.000002;19.745389
49;4807526976;0.000002;26.153697
50;7778742049;0.000002;34.649195
51;12586269025;0.000002;45.899087
52;20365011074;0.000002;60.802892
53;32951280099;0.000002;80.548282
54;53316291173;0.000002;106.701979
55;86267571272;0.000002;141.351174
56;139583862445;0.000002;187.250261
57;225851433717;0.000003;248.053153
58;365435296162;0.000003;328.601435
59;591286729879;0.000003;435.303414
60;956722026041;0.000003;576.654587
61;1548008755920;0.000003;763.904848
62;2504730781961;0.000003;1011.958001
63;4052739537881;0.000003;1340.559435
64;6557470319842;0.000003;1775.862849
65;10610209857723;0.000003;2352.517436
66;17167680177565;0.000003;3116.422284
67;27777890035288;0.000003;4128.380285
68;44945570212853;0.000003;5468.939721
69;72723460248141;0.000003;7244.802570
70;117669030460994;0.000003;9597.320006
71;190392490709135;0.000005;12713.742290
72;308061521170129;0.000003;16842.122575
73;498454011879264;0.000003;22311.062296
74;806515533049393;0.000003;29555.864866
75;1304969544928657;0.000003;39153.184871
76;2111485077978050;0.000003;51866.927162
77;3416454622906707;0.000003;68709.049737
78;5527939700884757;0.000003;91020.112033
79;8944394323791464;0.000003;120575.976899
80;14472334024676221;0.000003;159729.161770
81;23416728348467685;0.000004;211596.088932
82;37889062373143906;0.000004;280305.138669
83;61305790721611591;0.000004;371325.250702
84;99194853094755497;0.000004;491901.227601
85;160500643816367088;0.000004;651630.389371
86;259695496911122585;0.000004;863226.478303
87;420196140727489673;0.000004;1143531.616971
88;679891637638612258;0.000004;1514856.867673
89;1100087778366101931;0.000004;2006758.095274
90;1779979416004714189;0.000004;2658388.484645
91;2880067194370816120;0.000004;3521614.962948
92;4660046610375530309;0.000004;4665146.579919
93;7540113804746346429;0.000004;6180003.447593
94;12200160415121876738;0.000004;8186761.542867
95;19740274219868223167;0.000004;10845150.027512
96;31940434634990099905;0.000004;14366764.990459
97;51680708854858323072;0.000004;19031911.570378
98;83621143489848422977;0.000004;25211915.017971
99;135301852344706746049;0.000004;33398676.560838
100;218922995834555169026;0.000011;44243826.588349
