Posicao;Valor;Tempo_Iterativo(seg);Tempo_Recursivo(seg) (Real até 30, Estimado depois)
1;0;0.000000;0.000001
2;1;0.000000;0.000001
3;1;0.000001;0.000001
4;2;0.000001;0.000001
5;3;0.000009;0.000001
6;5;0.000001;0.000001
7;8;0.000001;0.000002
8;13;0.000001;0.000004
9;21;0.000001;0.000006
10;34;0.000001;0.000009
11;55;0.000001;0.000015
12;89;0.000001;0.000024
13;144;0.000001;0.000040
14;233;0.000001;0.000064
15;377;0.000001;0.000103
16;610;0.000001;0.000168
17;987;0.000001;0.000275
18;1597;0.000001;0.000446
19;2584;0.000001;0.000728
20;4181;0.000001;0.001149
21;6765;0.000001;0.001893
22;10946;0.000001;0.003064
23;17711;0.000001;0.004866
24;28657;0.000001;0.007766
25;46368;0.000001;0.012725
26;75025;0.000001;0.020544
27;121393;0.000001;0.033298
28;196418;0.000001;0.055016
29;317811;0.000001;0.088337
30;514229;0.000001;0.144369
31;832040;0.000002;0.143353
32;1346269;0.000002;0.232707
33;2178309;0.000002;0.287722
34;3524578;0.000002;0.376059
35;5702887;0.000002;0.520429
36;9227465;0.000002;0.663782
37;14930352;0.000002;0.896488
38;24157817;0.000002;1.184211
39;39088169;0.000002;1.560270
40;63245986;0.000002;2.080699
41;102334155;0.000002;2.744481
42;165580141;0.000002;3.640969
43;267914296;0.000002;4.825180
44;433494437;0.000002;6.385450
45;701408733;0.000002;8.466148
46;1134903170;0.000002;11.210629
47;1836311903;0.000002;14.851598
48;2971215073;0.000002;19.676777
49;4807526976;0.000002;26.062227
50;7778742049;0.000002;34.528375
51;12586269025;0.000002;45.739004
52;20365011074;0.000002;60.590602
53;32951280099;0.000002;80.267380
54;53316291173;0.000002;106.329607
55;86267571272;0.000002;140.857982
56;139583862445;0.000003;186.596986
57;225851433717;0.000003;247.187588
58;365435296162;0.000002;327.454968
59;591286729879;0.000003;433.784574
60;956722026041;0.000003;574.642556
61;1548008755920;0.000003;761.239542
62;2504730781961;0.000003;1008.427131
63;4052739537881;0.000003;1335.882099
64;6557470319842;0.000003;1769.666673
65;10610209857723;0.000003;2344.309229
66;17167680177565;0.000003;3105.548771
67;27777890035288;0.000003;4113.975902
68;44945570212853;0.000003;5449.858001
69;72723460248141;0.000003;7219.524673
70;117669030460994;0.000003;9563.833903
71;190392490709135;0.000003;12669.382674
72;308061521170129;0.000003;16783.358576
73;498454011879264;0.000003;22233.216576
74;806515533049393;0.000003;29452.741250
75;1304969544928657;0.000005;39016.575152
76;2111485077978050;0.000003;51685.957826
77;3416454622906707;0.000003;68469.316402
78;5527939700884757;0.000003;90702.532979
79;8944394323791464;0.000003;120155.274229
80;14472334024676221;0.000003;159171.849381
81;23416728348467685;0.000004;210857.807208
82;37889062373143906;0.000004;279327.123610
83;61305790721611591;0.000004;370029.656589
84;99194853094755497;0.000004;490184.930817
85;160500643816367088;0.000004;649356.780198
86;259695496911122585;0.000004;860214.587406
87;420196140727489673;0.000004;1139541.711016
88;679891637638612258;0.000004;1509571.367604
89;1100087778366101931;0.000004;1999756.298422
90;1779979416004714189;0.000004;2649113.078620
91;2880067194370816120;0.000004;3509327.666026
92;4660046610375530309;0.000004;4648869.377042
93;7540113804746346429;0.000004;6158440.744646
94;12200160415121876738;0.000004;8158197.043068
95;19740274219868223167;0.000004;10807310.121688
96;31940434634990099905;0.000004;14316637.787715
97;51680708854858323072;0.000004;18965507.164757
98;83621143489848422977;0.000004;25123947.909403
99;135301852344706746049;0.000004;33282144.952471
100;218922995834555169026;0.000006;44089455.074160
